main_speaker,speaker_occupation
David Pogue,Technology columnist
Alison Jackson,Artist
Chris Anderson,TED Curator
Robin Chase,Transport networker
Jaime Lerner,City evangelist
David Macaulay,Illustrator
Michael Pollan,Environmental writer
Howard Rheingold,Digital community builder
George Dyson,Historian of science
Moshe Safdie,Architect
Joseph Lekuton,Kenyan MP
Steve Jurvetson,Venture capitalist
Alan Kay,Educator and computing pioneer
Craig Venter,Biologist
Craig Venter, genetics pioneer
Nicholas Negroponte,Tech visionary
Jill Bolte Taylor,Neuroanatomist
Frank Gehry,Architect
Dave Eggers,Author
Dave Eggers, publisher
Dave Eggers, education activist
Karen Armstrong,Religious scholar
Neil Turok,Physicist
Neil Turok, education activist
Norman Foster,Architect
Christopher deCharms,Brain researcher
Clifford Stoll,Astronomer
Clifford Stoll, educator
Clifford Stoll, skeptic
Siegfried Woldhek,Illustrator
David Hoffman,Filmmaker
Jakob Trollback,Designer
Stephen Hawking,Theoretical physicist
Al Gore,Climate advocate
Johnny Lee,Human-computer interaction researcher
Yochai Benkler,Legal expert
Ernest Madu,Cardiologist
Amy Tan,Novelist
Brian Greene,Physicist
Brian Cox,Physicist 
Hector Ruiz,CEO
Paul Stamets,Mycologist
Paul Ewald,Evolutionary biologist
Michael Moschen,Juggler
Joshua Klein,Hacker
Alisa Miller,CEO
Alisa Miller, Public Radio International (PRI)
Mark Bittman,Food writer
Robert Ballard,Oceanographer
Yves Behar,Designer
Arthur Ganson,Sculptor
Seyi Oyesola,Doctor
Paul Collier,Economist
Susan Blackmore,Memeticist
Nathan Myhrvold,Polymath
Wade Davis,Anthropologist
Wade Davis, ethnobotanist
Murray Gell-Mann,Physicist
George Dyson,Historian of science
Chris Jordan,Artist
Dean Ornish,Physician
Dean Ornish, author
Robert Full,Biologist
Adam Grosser,Venture capitalist
Steven Levitt,Economist
Benjamin Zander,Conductor
Nicholas Negroponte,Tech visionary
Peter Diamandis,Space activist
Rick Smolan,Photographer
Raul Midon,Guitarist
Corneille Ewango,Botanist and activist
Torsten Reil,Animating neurobiologist
David Hoffman,Filmmaker
Clay Shirky,Social Media Theorist
Freeman Dyson,Physicist
Helen Fisher,Anthropologist
Helen Fisher, expert on love
Billy Graham,Preacher
AJ Jacobs,Author
Keith Barry,Magician
Martin Seligman,Psychologist
Marisa Fick-Jordan,Craft artist
Marisa Fick-Jordan, product designer
Chris Abani,Novelist
Chris Abani, poet
Louise Leakey,Paleoanthropologist
Jonathan Harris,Artist
Jonathan Harris, storyteller
Jonathan Harris, Internet anthropologist
Reed Kroloff,Architecture critic
Kevin Kelly,Digital visionary
Kwabena Boahen,Bioengineer
Robert Lang,Origamist
Patricia Burchat,Particle physicist
Spencer Wells,Genographer
David Griffin,Director of photography
David Griffin, National Geographic
Lennart Green,Close-up card magician
Ian Dunbar,Animal behaviorist
John Q. Walker,Musician and inventor
Sugata Mitra,Education researcher
Ory Okolloh,Blogger and activist
Einstein the Parrot,African grey parrot
Paul Rothemund,DNA origamist
Peter Diamandis,Space activist
Peter Hirshberg,Entrepreneur
Peter Hirshberg, marketer
Jonathan Drori,Educator
Jane Goodall,Primatologist
Jane Goodall, environmentalist
Irwin Redlener,Physician
Irwin Redlener, disaster-preparedness activist
Brewster Kahle,Digital librarian
Carmen Agra Deedy,Storyteller
Keith Bellows,Traveler
Ann Cooper,Lunch lady
Jonathan Haidt,Social psychologist
Eve Ensler,Playwright
Eve Ensler, activist
David S. Rose,Angel Investor
Marvin Minsky,AI pioneer
Philip Zimbardo,Psychologist
Laura Trice,Counselor
Laura Trice, coach and baker
Caleb Chung,Toy designer
Steven Pinker,Psychologist
Rodney Brooks,Roboticist
Stefan Sagmeister,Graphic designer
Noah Feldman,Constitutional law scholar
Liz Diller,Designer
James Nachtwey,Photojournalist
David Perry,Game designer
Doris Kearns Goodwin,Historian
Steven Johnson,Writer
James Burchfield,Human beatbox
Garrett Lisi,Physicist
Paola Antonelli,Design curator
Virginia Postrel,Journalist
Dean Ornish,Physician
Dean Ornish, author
John Hodgman,Expert
Paul MacCready,Engineer
Mihaly Csikszentmihalyi,Positive psychologist
Kristen Ashburn,Photographer
Jared Diamond,Civilization scholar
Rives,Performance poet
Rives, multimedia artist
