main_speaker,speaker_occupation
Ariel Garten, scientist and entrepreneur
Bruce Feiler,Writer
Kate Orff,Landscape architect
Dale Dougherty,Tech publisher
Johanna Blakley,Media maven
Christopher McDougall,Journalist
Christopher McDougall, runner
Suheir Hammad,Poet
Suheir Hammad, playwright
Nigel Marsh,Author and marketer
Cynthia Breazeal,Roboticist 
Michael Pawlyn,Architect
Geert Chatrou,Whistler
Krista Tippett,Journalist
Patricia Kuhl,Language 
Jacqueline Novogratz,Investor and advocate for moral leadership
Lisa Gansky,Entrepreneur
Madeleine Albright,Former US Secretary of State
Noreena Hertz,Economist
Iain Hutchison,Facial surgeon
Elizabeth Lindsey,Explorer
Elizabeth Lindsey, ethnographer
Danny Hillis,Computer theorist
Wadah Khanfar,Journalist
JR,Street artist
Wael Ghonim,Internet activist and computer engineer
Bill Gates,Philanthropist
Anthony Atala,Surgeon
Courtney E. Martin,Journalist
Sal Khan,Educator and social entrepreneur
Deb Roy,Cognitive scientist
Rob Harmon,Natural resources expert
David Brooks,Op-ed columnist 
Janna Levin,Physicist
Mark Bezos,Activist
Mark Bezos, volunteer firefighter
Rogier van der Heide,Lighting designer
Sarah Kay,Poet
Hans Rosling,Global health expert
Hans Rosling, data visionary
Isabel Behncke,Primatologist
Paul Root Wolpe,Ethicist
Eythor Bender,Berkeley Bionics' CEO
Patricia Ryan ,Language teacher
Ralph Langner,Security consultant
Sebastian Thrun,Engineer
Eric Whitacre,Composer
Eric Whitacre, conductor
AnnMarie Thomas,Educator
Stanley McChrystal,Military leader
Chade-Meng Tan,Google Fellow
Morgan Spurlock,Filmmaker
Mick Ebeling,Entrepreneur
Caroline Casey,Inclusivity activist
Jackson Browne,Musician and activist
David Christian,Historian
Dave Meslin,Artist and organizer
Roger Ebert,Film critic and blogger
Marcin Jakubowski,Farmer and technologist
Susan Lim,Surgeon
Sam Richards,Sociologist
Kathryn Schulz,Wrongologist
John Hunter,Educator
Anil Ananthaswamy,Science writer
Ric Elias,Entrepreneur
Harvey Fineberg,Health policy expert
Bruce Schneier,Security expert
Angela Belcher,Biological engineer
Mike Matas,Software engineer
Arvind Gupta,Toymaker
Eli Pariser,Organizer and author
Carlo Ratti,Architect and engineer
Suzanne Lee,Designer
Sean Carroll,Physicist
Sean Carroll, cosmologist
Louie Schwartzberg,Filmmaker
Paul Nicklen,Polar photographer
Fiorenzo Omenetto,Biomedical engineer
Ron Gutman,Entrepreneur
Amit Sood,Technologist
Leonard Susskind,Physicist
Ed Boyden,Neuroengineer
Thomas Heatherwick,Designer
Elliot Krane,Pediatric anesthesiologist
Edith Widder,Marine biologist
Terry Moore,Thinker
Aaron Koblin,Data artist
Bruce Aylward,Epidemiologist
Shirin Neshat,Iranian visual artist
Mustafa Akyol,Journalist
Dennis Hong,Roboticist 
Stefan Sagmeister,Graphic designer
Aaron O'Connell,Physicist
Jessi Arrington,Designer
Damon Horowitz,Philosopher
Damon Horowitz, entrepreneur
Jack Horner,Dinosaur digger
Janet Echelman,Artist
Paul Romer,Chief Economist and Senior Vice President
Paul Romer, World Bank
Alice Dreger,Historian
JD Schramm,Communicator
Daniel Kraft,Physician scientist
Shea Hembrey,Artist and curator
Steve Keil,Entrepreneur
Camille Seaman,Photographer
Bill Ford,Executive chair
Bill Ford, Ford Motor Co.
Daniel Tammet,Linguist
Daniel Tammet, educator
Jok Church,Cartoonist
Honor Harger,Artist
Joshua Walters,Comedian
Joshua Walters, activist
Emiliano Salinas,Community activist
Rajesh Rao,Computational neuroscientist
Dave deBronkart,e-Patient
Robert Hammond,Friend of the High Line
Matt Cutts,Technologist
Nathan Myhrvold,Polymath
Jonathan Drori,Educator
Simon Lewis,Author
Simon Lewis, producer
Nina Tandon,Tissue engineering researcher
Rebecca MacKinnon,Internet freedom activist
Maajid Nawaz,Anti-extremism activist
Tim Harford,Economist
Tim Harford, journalist and broadcaster
Nadia Al-Sakkaf,Journalist
Mikko Hypponen,Cybersecurity expert
Thandie Newton,Actor
Kevin Slavin,Algoworld expert
Markus Fischer,Designer
Rory Stewart,Politician
Geoffrey West,Theorist
Paul Bloom,Psychologist
Josette Sheeran,Anti-hunger leader
Julian Treasure,Sound consultant
Adam Ostrow,Journalist
Harald Haas,Communications technology innovator
Mark Pagel,Evolutionary biologist
Jessica Green,Engineer and biodiversity scientist
Philip Zimbardo,Psychologist
Eve Ensler,Playwright
Eve Ensler, activist
Alex Steffen,Planetary futurist
Dyan deNapoli,Penguin expert
Jeremy Gilley,Peace activist
Lucianne Walkowicz,Stellar astronomer
Marco Tempest,Techno-illusionist
Dan Ariely,Behavioral economist
Svante PÌ_Ì_bo,Geneticist
Julia Bacha,Filmmaker
Skylar Tibbits,Inventor
Joan Halifax,Author
Joan Halifax, Zen priest
Edward Tenner,Historian of technology and culture
Sarah Kaminsky,Actor and writer
Lee Cronin,Chemist
Raghava KK,Artist
Yasheng Huang,Political economist
Misha Glenny,Underworld investigator
Kate Hartman,Artist and technologist
Richard Resnick,Entrepreneur
Lauren Zalaznick,Media executive
Niall Ferguson,Historian
Amy Lockwood,Global development worker
Elizabeth Murchison,Cancer researcher
Sunni Brown,Visualizer and gamestorming
Abraham Verghese,Physician and author
Geoff Mulgan,Social commentator
Jarreth Merz,Filmmaker
Ben Goldacre,Debunker
Yang Lan,Media mogul
Yang Lan, TV host
Christoph Adami,Artificial life researcher
Graham Hill,Journalist
Mike Biddle,Plastics recycler
Charles Hazlewood,Conductor
Alison Gopnik,Child development psychologist
Richard Seymour,Designer
Ian Ritchie,Software entrepreneur
Pamela Meyer,Lie detector
Jae Rhim Lee,Artist
Bunker Roy,Educator
Justin Hall-Tipping,Science entrepreneur
Guy-Philippe Goldstein,Author
Todd Kuiken,Biomedical engineer
Nathalie Miebach,Artist
Richard Wilkinson,Public health researcher
Malcolm Gladwell,Writer
Jay Bradner,Research scientist
BÌ©atrice Coron,Papercutter artist
Hasan Elahi,Privacy artist
Paul Zak,Neuroeconomist
Anna Mracek Dietrich,Inventor
Daniel Wolpert,Movement expert
Marco Tempest,Techno-illusionist
Sandra Fisher-Martins,Translator
Sandra Fisher-Martins, plain language activist
Martin Hanczyc,Chemist
Aparna Rao,Artist
Ben Kacyra,Digital preservationist
Allan Jones,Brain scientist
Charlie Todd,Comedian
Alexander Tsiaras,Medical image maker
Yves Rossy,Jetman
Thomas Suarez,Developer
Thomas Suarez, 12 year old
Cynthia Kenyon,Biochemist
Cynthia Kenyon, geneticist
Robin Ince,Comedian
Phil Plait,Astronomer
PÌ©ter Fankhauser,Roboticist
Joe Sabia,Storyteller
Britta Riley,Artist
Britta Riley, urban farmer
Amy Purdy,Pro snowboarder
Damon Horowitz,Philosopher
Damon Horowitz, entrepreneur
Annie Murphy Paul,Science author
Charles Limb,Researcher
Kathryn Schulz,Wrongologist
Sarah Kay,Poet
Srdja Popovic,Organizer
Luis von Ahn,Computer scientist
Cheryl Hayashi,Spider silk scientist
Yoav Medan,Medical inventor
Stefon Harris,Jazz vibraphonist
Monika Bulaj,Photographer
Quyen Nguyen,Surgeon
Pavan Sukhdev,Environmental economist
Ramona Pierson,Education innovator
Roger Doiron,Gardening activist
Antonio Damasio,Neuroscientist
Sheila Nirenberg,Neuroscientist
Daniel Goldstein,Behavioral economist
Karen Tse,Anti-torture activist
Alberto Cairo,Physiotherapist
AJ Jacobs,Author
Jane Fonda,Actor and activist
Paddy Ashdown,Diplomat
Sebastian Wernicke,Data scientist
Tyler Cowen,Economist
Jonas Gahr StÌüre,Foreign Minister of Norway
Drew Berry,Biomedical animator
Sonaar Luthra,No Occupation Noted
Alain de Botton,Philosopher
Mikko Hypponen,Cybersecurity expert
Clay Shirky,Social Media Theorist
Sheena Iyengar,Psycho-economist
Bilal Bomani,NASA scientist
Julian Baggini,Philosopher
Lisa Harouni,3D printing entrepreneur
Diana Nyad,Journalist
Diana Nyad, swimmer
Brian Goldman,Physician
Brian Goldman, broadcaster
Gayle Tzemach Lemmon,Reporter
Mick Mountz,CEO
Mick Mountz, Kiva Systems
Peter van Uhm,General
Bill Doyle,Engineer
Shawn Achor,Psychologist
Erica Frenkel,Medical technologist
Danny Hillis,Computer theorist
Mike deGruy,Filmmaker
Neil Burgess,Neuroscientist
Stephen Coleman,Ethicist
Sheikha Al Mayassa,Founder
Sheikha Al Mayassa, Doha Film Institute
Jack Horner,Dinosaur digger
Erik Johansson,Photographer and retoucher
Drew Dudley,Leadership educator
Jenna McCarthy,Writer
Lucien Engelen,Healthcare innovator
Simon Berrow,Marine biologist
Paul Conneally,Aid worker
Garth Lenz,Photographer
Neil MacGregor,Director of The British Museum
Chris Bliss,Writer
Shilo Shiv Suleman,Artist
Shlomo Benartzi,Economist
Tan Le,Entrepreneur
Avi Rubin,Computer security expert
Kevin Allocca,YouTube trends manager
Paul Snelgrove,Marine biologist
Daniel Pauly,Fisheries biologist
Peter Diamandis,Space activist
Paul Gilding,Writer
Vijay Kumar,Roboticist
Susan Cain,Quiet revolutionary
Bryan Stevenson,Public-interest lawyer
Andrew Stanton,Filmmaker
James Hansen,Climatologist
Jennifer Pahlka,Code activist
Improv Everywhere,Social energy entrepreneur
Larry Smith,Professor of Economics
Larry Smith, University of Waterloo
Jonathan Haidt,Social psychologist
Rob Reid,Author
Rob Reid, entrepreneur
BrenÌ© Brown,Vulnerability researcher
T. Boone Pickens,Entrepreneur and energy theorist
Noel Bairey Merz,Physician
Taylor Wilson,Nuclear scientist
Billy Collins,Poet
Peter Saul,Doctor
Peter Saul, intensive care specialist
Donald Sadoway,Materials engineer
Regina Dugan,Former director of DARPA
Leymah Gbowee,Peace activist
Leymah Gbowee, Nobelist
Ayah Bdeir,Engineer and artist
Marco Tempest,Techno-illusionist
Rick Falkvinge,No Occupation Noted
Sherry Turkle,Cultural analyst
Chip Kidd,Graphic designer
Jack Choi,Technologist
Lucy McRae,Body architect 
Jonathan Foley,Professor
Frank Warren,Secret keeper
Frans de Waal,Primatologist
Melinda Gates,Philanthropist
Tal Golesworthy,Engineer and artist
Abigail Washburn,Clawhammer banjo player
Atul Gawande,Surgeon
Atul Gawande, journalist
Drew Curtis,Web entrepreneur
Taryn Simon,Photographer
Laura Carstensen,Psychologist
Christina Warinner,Archaeological geneticist
Brian Greene,Physicist
Michael Norton,Social science researcher
Eduardo Paes,Mayor of Rio de Janeiro
Nancy Lublin,Activist
Joe Smith,Lawyer
Brenda Romero,Game designer
Liz Diller,Designer
Amory Lovins,Physicist
Amory Lovins, energy guru
Reuben Margolin,Kinetic sculptor
Gary Kovacs,No Occupation Noted
Rory Sutherland,Advertising guru
Tavi Gevinson,Blogger and fashion icon
Michael Tilson Thomas,Musician
Michael Tilson Thomas, Conductor
JP Rangaswami,Technologist
Karen Bass,Natural history filmmaker 
Joshua Foer,Writer
Renny Gleeson,Skeptimist
Bart Knols,Malariologist
Tali Sharot,Cognitive neuroscientist
Jean-Baptiste Michel,Data researcher
David Kelley,Designer
David Kelley, educator
Carl Schoonover,Neuroscience PhD student + writer
JR,Street artist
Michael McDaniel,Graphic designer
Nathan Wolfe,Virus hunter
Hans Rosling,Global health expert
Hans Rosling, data visionary
Philippe Petit,High-wire artist
Shereen El-Feki,Arab sexuality expert
David MacKay,Professor
Ken Goldberg,Roboticist
William Noel,Curator
William Noel, rare book scholar
Dalia Mogahed,Muslim studies scholar
Sebastian Deterding,Designer
Seth Shostak,Astronomer
David Birch,Digital money and identity consultant
Juan Enriquez,Futurist
Diane Kelly,Biologist
Terry Moore,Thinker
Damian Palin,Biological miner
John Hodgman,Expert
Ami Klin,Autism researcher
John Hockenberry,Journalist
Rebecca Onie,Health services innovator
Beeban Kidron,Film director
Sarah Parcak,Satellite archaeologist + TED Prize winner
LZ Granderson,Journalist
Rodney Mullen,Skater
Megan Kamerick,Reporter
David R. Dow,Death penalty lawyer
Ivan Oransky,Health reporter
Marco Tempest,Techno-illusionist
Peter Norvig,Computer scientist
Wolfgang Kessling,Physicist
Jon Nguyen,Engineer
Nirmalya Kumar,Professor
E.O. Wilson,Biologist
Rives,Performance poet
Rives, multimedia artist
Massimo Banzi,Physical Computing Guru
Don Tapscott,Digital strategist
Elyn Saks,Mental health law scholar
Boaz Almog,Quantum Researcher
Alanna Shaikh,Global health and development specialist
Raghava KK,Artist
Cesar Harada,Inventor
Cesar Harada, environmentalist
Cesar Harada, educator
Jane McGonigal,Game Designer
Jonathan Eisen,Biologist
Chris Gerdes,Mechanical engineer
Marc Goodman,Global Security Futurist
Jared Ficklin,Visualizer
Todd Humphreys,Assistant Professor
Gabriel Barcia-Colombo,Video sculptor
Mina Bissell,Cancer Researcher
Jamie Drummond,Anti-poverty activist
Baba Shiv,Neuroeconomist
Neil Harbisson,Sonochromatic Cyborg Artist
John Graham-Cumming,Computer programmer
Vinay Venkatraman,Designer
James Stavridis,Navy Admiral
Malte Spitz,Politician
Malte Spitz, data activist
Tracy Chevalier,Author
Ramesh Raskar,Femto-photographer
Michael Hansmeyer,Computational architect
Noah Wilson-Rich,Beekeeper
Michael Anti,Blogger
Stephen Ritz,Teacher
Daphne Koller,Educator
Becci Manson,Photo Retoucher
Mark Applebaum,Composer
Scilla Elworthy,Peace builder
Margaret Heffernan,Management thinker
Max Little,Applied mathematician
Pam Warhurst,Cofounder
Pam Warhurst, Incredible Edible
Kirby Ferguson,Filmmaker and Remixer
Lisa Kristine,Photographer
Mark Forsyth,Writer
Ivan Krastev,Public intellectual
Jon Ronson,Writer and filmmaker
Timothy Prestero,Designer
Rob Legato,Visual Effects Guru
Robert Neuwirth,Author
Shyam Sankar,Data Intelligence Agent
Antony Gormley,Sculptor
Jonathan Trent,Scientist and biofuel guru
Kent Larson,Architect
Scott Fraser,Forensic psychologist
Scott Fraser, expert witness
Vikram Patel,Mental health care advocate
Leslie T. Chang,Journalist
Susan Solomon,Stem cell research advocate
Wayne McGregor,Dancer and Choreographer
Beth Noveck,Open-government expert
Tristram Stuart,Author and Activist
Sarah-Jayne Blakemore,Cognitive Neuroscientist
Julian Treasure,Sound consultant
Andrew Blum,Network author
Bandi Mbubi,Social Justice Activist
Ed Gavagan,Designer
Ed Gavagan, Storyteller
Rachel Botsman,Trust researcher
Andrew McAfee,Management theorist
Read Montague,Behavioral Neuroscientist
Clay Shirky,Social Media Theorist
Ben Goldacre,Debunker
Bahia Shehab,Artist and historian
Aris Venetikidis,Mapmaker
Vicki Arroyo,Environmental policy influencer
Amy Cuddy,Social psychologist
Jason McCue,Lawyer
Shimon Schocken,Computer Scientist
Shimon Schocken, Educator
Thomas P. Campbell,Museum director
Tim Leberecht,Business romantic
John Maeda,Artist
Ruby Wax,Comedian and Mental Health Activist
Melissa Marshall,Communications teacher
Maurizio Seracini,Art diagnostician
Eddie Obeng,Business Educator
John Wilbanks,Data Commons Advocate
Heather Brooke,Journalist
Ryan Merkley,COO
Ryan Merkley, Mozilla Foundation
Pankaj Ghemawat,Globalization researcher
David Pizarro,Psychologist
David Pizarro, Disgust researcher
Lemn Sissay,Poet and playwright
Doris Kim Sung,Architect
Marco Tempest,Techno-illusionist
Rory Stewart,Politician
Sanjay Pradhan,Development Leader
Emma Teeling,Zoologist
Adam Garone,Moustache activist
Faith Jegede Cole,Writer
Matt Killingsworth,Happiness researcher
Jake Wood,CEO
Jake Wood, Team Rubicon
Gary Greenberg,Micro photographer
Georgette Mulheir,CEO
Georgette Mulheir, Lumos
Jeff Hancock,Psychologist
Julie Burstein,Writer and radio producer
Arunachalam Muruganantham,Inventor
Hannah Brencher,Letter enthusiast
Leah Buechley,Designer
David Binder,Theater producer
Daphne Bavelier,Cognitive researcher
Amos Winter,Mechanical engineer
Louie Schwartzberg,Filmmaker
Candy Chang,Artist
Candy Chang, designer
Candy Chang, urban planner
Ernesto Sirolli,Sustainable development expert
Jonas Eliasson,Transportation specialist
Janine Shepherd,Pilot
Munir Virani,Raptor biologist
Munir Virani, wildlife photographer
Paolo Cardini,Designer
Bobby Ghosh,Editor
Ludwick Marishane,Entrepreneur
Jeff Smith,Recovering politician
Nina Tandon,Tissue engineering researcher
Lemon Andersen,Poet and actor
Ellen 't Hoen,Medicine law expert
Markham Nolan,Journalist
Maz Jobrani,Comedian
Marcus Byrne,Entomologist
Ben Saunders,Arctic explorer
Robin Chase,Transport networker
Molly Crockett,Neuroscientist
Steven Addis,Brand strategist
Adam Davidson,Journalist
Ronny Edry,Graphic Designer
Karen Thompson Walker,Novelist
Hadyn Parry,Biotechnology entrepreneur
Don Levy,Film executive
Jonathan Haidt,Social psychologist
Sue Austin,Performance artist
Jarrett J. Krosoczka,Author/illustrator
Boghuma Kabisen Titanji,Clinical researcher
Andy Puddicombe,Mindfulness expert
Angela Patton,Activist
Ellen Jorgensen,Biologist
Ellen Jorgensen, community science advocate
Cameron Russell,Model
Richard Weller,Dermatologist
Colin Stokes,Proud dad
Janine di Giovanni,Reporter
Colin Powell,Former U.S. Secretary of State
Steven Schwaitzberg,Surgeon and technologist
Leslie Morgan Steiner,Writer
Wingham Rowan,Policy entrepreneur
Mitch Resnick,Computer scientist
iO Tillett Wright,Photographer
Fahad Al-Attiya,Food security expert
Zahra' Langhi,Activist
Tyler DeWitt,Science enthusiast
Cesar Kuriyama,Video maker
Lee Cronin,Chemist
Edi Rama,Politician
Shabana Basij-Rasikh,Educator
Erik Schlangen,Experimental micromechanics pioneer
James B. Glattfelder,Complex systems theorist
Esther Perel,Relationship therapist
Young-ha Kim,Writer
Miguel Nicolelis,Neuroscientist
Keith Chen,Behavioral economist
Afra Raymond,Transparency activist
Andreas Schleicher,Education surveyor
Michael Dickinson,Biologist
Bruce Feiler,Writer
Sugata Mitra,Education researcher
Jennifer Granholm,Former governor of Michigan
Amanda Palmer,Musician
Amanda Palmer, blogger
Allan Savory,Grassland ecosystem pioneer
Edith Widder,Marine biologist
Ron Finley,Gardener
Kakenya Ntaiya,Educator and activist
Shane Koyczan,Poet
Dan Pallotta,Author
Dan Pallotta, speaker
Dan Pallotta, reformer
David Anderson,Neurobiologist
Stewart Brand,Environmentalist
Stewart Brand, futurist
Bono,Musician
Bono, activist
Catarina Mota,Maker
Danny Hillis,Computer theorist
Hyeonseo Lee,Activist
Francis Collins,Geneticist
Francis Collins, physician
Eric Whitacre,Composer
Eric Whitacre, conductor
Jessica Green,Engineer and biodiversity scientist
Mark Shaw,Macroencapsulator
Richard Turere,Inventor
Colin Camerer,Behavioral economist
Kees Moeliker,Ornithologist
Sanjay Dastoor,Roboticist
Lawrence Lessig,Legal activist
Skylar Tibbits,Inventor
Ken Jennings,Know-it-all
Freeman Hrabowski,Educator
Keller Rinaudo,Robotics entrepreneur
Dan Ariely,Behavioral economist
Eric Dishman,Social scientist
Laura Snyder,Science historian
Rose George,Curious journalist
Thomas Insel,Neuroscientist and psychiatrist
Joshua Prager,Journalist
Andres Lozano,Neurosurgeon
BLACK,Yo-yo champion
John McWhorter,Linguist
Robert Gordon,Economist
Erik Brynjolfsson,Innovation researcher
Jennifer Healey,Research scientist
David Pogue,Technology columnist
Nilofer Merchant,Corporate director
Nilofer Merchant, author
Taylor Wilson,Nuclear scientist
SebastiÌ£o Salgado,Photojournalist
Juan Enriquez,Futurist
Rita Pierson,Educator
Timothy Bartik,Economist
ShaoLan,Technologist
ShaoLan, entrepreneur
Bill Gates,Philanthropist
Ramsey Musallam,Educator
Pearl Arredondo,Teacher
Malcolm London,Poet
Malcolm London, performer
Malcolm London, activist
Geoffrey Canada,Education reformer
Angela Lee Duckworth,Psychologist
Ken Robinson,Author/educator
Meg Jay,Clinical psychologist
Maria Bezaitis,Computer engineer
Liu Bolin,Artist
Jay Silver,Inventor
Sergey Brin,Computer scientist
Sergey Brin, entrepreneur and philanthropist
Peter Singer,Philosopher
Peter Singer, ethicist
Phil Hansen,Multimedia artist
Judy MacDonald Johnston,Entrepreneur
Alastair Parvin,Designer
Paola Antonelli,Design curator
Jackson Katz,Anti-sexism educator
Hendrik Poinar,Evolutionary geneticist
Lisa Bu,Passionate reader
Andrew Solomon,Writer
Alex Laskey,Energy software maker
Anas Aremeyaw Anas,Undercover journalist
Denise Herzing,Dolphin researcher
Martin Villeneuve,Graphic artist
Martin Villeneuve, director
Andrew McAfee,Management theorist
Raffaello D'Andrea,Autonomous systems pioneer
George Papandreou,Former Prime Minister of Greece
Daniel Suarez,Sci-fi author
Manal al-Sharif,WomenÛªs rights activist
Didier Sornette,Risk economist
Juliana Rotich,Tech entrepreneur
Joseph Kim,North Korean refugee
Paul Pholeros,Architect
Camille Seaman,Photographer
Lesley Hazleton,Writer
Lesley Hazleton, psychologist
Peter Attia,Surgeon
Bob Mankoff,Cartoon editor
Michael Archer,Paleontologist
Rodney Brooks,Roboticist
Eric X. Li,Investor and political scientist
Joel Selanikio,Health and technology activist
Jinha Lee,Interface designer
Jinha Lee, engineer
Charmian Gooch,Anti-corruption activist
Michael Green,Architect
Jack Andraka,Cancer detector inventor
Al Vernacchio,Sexuality educator
Bernie Krause,Natural sounds expert
Gavin Pretor-Pinney,Cloudspotter
Pico Iyer,Global author
Tom Thum,Beatboxer
John Searle,Philosopher
Kate Stone,Shepherd of electrons
Paul Kemp-Robertson,Advertising expert
Tania Luna,Surprisologist
Bastian Schaefer,Aircraft engineer
Eli Beer,Life saver
Julie Taymor,Director
Julie Taymor, designer
Peter van Manen,Electronic systems expert
Beardyman,Beatboxer and inventor
Daniel H. Cohen,Philosopher
Jinsop Lee,Multi-sense designer
Saki Mafundikwa,Graphic designer
Eleanor Longden,Research psychologist
Margaret Heffernan,Management thinker
Shigeru Ban,Architect
Russell Foster,Circadian neuroscientist
May El-Khalil,Founder of the Beirut Marathon
Adam Spencer,Science communicator
Kelly McGonigal,Health psychologist
Chrystia Freeland,Plutocracy chronicler
Alexa Meade,Visual artist
George Monbiot,Rewilding campaigner
Jake Barton,Designer and storyteller
Ron McCallum,Labor lawyer and activist
Sonia Shah,Science writer
Apollo Robbins,Gentleman thief
James Lyne,Cybersecurity specialist
Marla Spivak,Bees scholar
Andras Forgacs,Bioprinting entrepreneur
Benjamin Barber,Political theorist
Elizabeth Loftus,False memories scholar
Stuart Firestein,Neuroscientist
Onora O'Neill,Philosopher
James Flynn,Moral philosopher
Kevin Breel,Comedian
Kevin Breel, activist
Malcolm Gladwell,Writer
Kelli Swazey,Anthropologist
Amy Webb,Founder and CEO
Amy Webb, Future Today Institute
Fabian Oefner,Photographer
Jason Pontin,Editor
Michael Porter,Business strategist
Michael Sandel,Political philosopher
Janette Sadik-Khan,City transportation expert
Trita Parsi,Political scientist
Gary Slutkin,Epidemiologist
Andrew Fitzgerald,Editor
Jeff Speck,Urban planner
Amanda Bennett,Journalist
Iwan Baan,Urban documentarian
Alessandro Acquisti,Privacy economist
Steve Howard,Corporate innovator
Charles Robertson,Emerging-markets economist
Parul Sehgal,Literary critic
Gian Giudice,Theoretical physicist
Xavier Vilalta,Architect and urbanist
Mariana Mazzucato,Innovation economist
Mohamed Hijri,Biologist
Abha Dawesar,Novelist
Holly Morris,Explorer and filmmaker
Dong Woo Jang,Bow designer
Rodrigo Canales,Business professor
Robin Nagle,Trash anthropologist
GrÌ©goire Courtine,Spinal cord researcher
Mikko Hypponen,Cybersecurity expert
Arthur Benjamin,Mathemagician
Dambisa Moyo,Global economist 
Chris Downey,Architect
Mohamed Ali,Human rights advocate
Stefan Larsson,Value-based health care advocate
Jane McGonigal,Game Designer
Lian Pin Koh,Drones ecologist
Greg Asner,Airborne ecologist
Andreas Raptopoulos,Airborne logistics activist
Peter Doolittle,Educational psychology professor
Jared Diamond,Civilization scholar
Suzana Herculano-Houzel,Neuroscientist
David Steindl-Rast,Monk
Toby Eccles,Social investment visionary
Geraldine Hamilton,Bio researcher
Sally Kohn,Political pundit
David Lang,Maker
Enrique PeÌ±alosa,Colombian politician
Enrique PeÌ±alosa, urban activist
Boyd Varty,Environmental and literacy activist
DiÌ©bÌ©do Francis KÌ©rÌ©,Community-minded architect
Eddy Cartaya,Cave Explorer
Stephen Cave,Philosopher
Rose George,Curious journalist
Toni Griffin,Place maker
Marco Annunziata,Economist
Andrew Solomon,Writer
Krista Donaldson,Engineer
Paul Piff,Social psychologist
Diana Nyad,Journalist
Diana Nyad, swimmer
Mick Cornett,Mayor
Maysoon Zayid,Comedian and writer 
Suzanne Talhouk,Poet and language advocate
Roger Stein,Financial management expert
Sandra Aamodt,Neuroscientist and science writer
Frederic Kaplan,Digital humanities researcher
Ryan Holladay,No Occupation Noted
Harish Manwani,COO
Harish Manwani, Unilever
Mark Kendall,Biomedical engineer
Luke Syson,Curator
Guy Hoffman,Roboticist
Shereen El Feki,Arab sexuality expert
Paula Johnson,Women's-health expert
Yves Morieux,Consultant
Joe Kowan,Musician and graphic designer
Anant Agarwal,Education innovator
Anne Milgram,Criminal justice reformer
McKenna Pope,Teen activist
Nicolas Perony,Animal scientist
Maya Penn,Entrepreneur
Maya Penn, animator
Maya Penn, philanthropist ...
Esta Soler,Violence and abuse prevention expert
Dan Berkenstock,Satellite designer
Teddy Cruz,Architect and urbanist
Alex Wissner-Gross,Scientist
Alex Wissner-Gross, entrepreneur
Alex Wissner-Gross, inventor
Aparna Rao,Artist
David Puttnam,Producer
Leyla Acaroglu,Sustainability strategist
Chris McKnett,Sustainable investment champion
Rupal Patel,Speech scientist
Yann Dall'Aglio,Philosopher
Molly Stevens,Biomaterials researcher
Roselinde Torres,Leadership expert
Christopher Ryan,Psychologist
Ash Beckham,Equality advocate
Siddharthan Chandran,Regenerative neurologist
Catherine Bracy,Hacker
Catherine Bracy, community manager
Michael Metcalfe,Financial expert
Henry Lin,Student scientist
Annette Heuser,Rating agency reformer
Mary Lou Jepsen,Screen engineer
Philip Evans,Consultant
Christopher Soghoian,Privacy researcher and activist
Gabe Barcia-Colombo,Video sculptor
Manu Prakash,Physicist
Manu Prakash, inventor
Ajit Narayanan,Visual grammar engine inventor
Anne-Marie Slaughter,Public policy thinker
Toby Shapshak,Technology writer
Carin Bondar,Wild sex biologist
Daniel Reisel,Neuroscientist
Chris Hadfield,Astronaut
Charmian Gooch,Anti-corruption activist
Ziauddin Yousafzai,Education activist
Bran Ferren,Technology designer
Ed Yong,Science writer
Del Harvey,Security maven
Hugh Herr,Bionics designer
Geena Rocero,Model and activist
Allan Adams,Theoretical physicist
Jennifer Golbeck,Computer scientist
Lawrence Lessig,Legal activist
Amanda Burden,Urban planner
Christopher Emdin,Education pioneer
Louie Schwartzberg,Filmmaker
David Sengeh,Biomechatronics engineer
David Brooks,Op-ed columnist 
Jennifer Senior,Writer
Norman Spack,Endocrinologist
Jeremy Kasdin,Planet finder
Matthew Carter,Type designer
Sarah Lewis,Writer
Michel Laberge,Plasma physicist
Hamish Jolly,Inventor
Hamish Jolly, ocean swimmer
James Patten,Interaction designer
Elizabeth Gilbert,Writer
Wendy Chung,Geneticist
David Epstein,Sports science reporter
Andrew Bastawrous,Eye surgeon
Andrew Bastawrous, inventor
Gavin Schmidt,Climate scientist
Sarah Jones,Polymorphic playwright
Mellody Hobson,Investment expert
Marco Tempest,Techno-illusionist
Stanley McChrystal,Military leader
Randall Munroe,Cartoonist
Mark Ronson,Music producer and DJ
William Black,Academic
Deborah Gordon,Ecologist
Kevin Briggs,Golden Gate guardian
Tristram Wyatt,Zoologist
Rives,Performance poet
Rives, multimedia artist
Simon Sinek,Leadership expert
Jackie Savitz,Ocean advocate
Andrew Solomon,Writer
Chris Kluwe,Punter and author
Wes Moore,Author and advocate
Sebastian Junger,Journalist and documentarian
Jon Mooallem,Writer
Kitra Cahana,Vagabond photojournalist + conceptual artist
Stephen Friend,Open-science advocate
Ray Kurzweil,Inventor
Ray Kurzweil, futurist
Dan Gilbert,Psychologist
Dan Gilbert, happiness expert
Stephen Burt,Poetry critic
Robert Full,Biologist
