talk_id,WC,comment_num,duration,talk_event,film_date,main_speaker,published_date,view_count
78,2318,84,891,TED2003,2003-02-27,Vik Muniz,2007-04-05,1149090
79,2628,131,1012,TEDGlobal 2005,2005-07-14,Nick Bostrom,2007-04-05,762264
80,2893,127,1399,TED2005,2005-02-24,Janine Benyus,2007-04-05,1920434
81,2506,34,1011,TEDGlobal 2005,2005-02-24,Craig Venter,2007-04-05,560904
82,422,47,893,TED2004,2004-02-27,Golan Levin,2007-04-05,606311
83,1917,335,1045,TED2004,2004-02-02,Susan Savage-Rumbaugh,2007-04-05,2197377
84,1109,143,977,TED2005,2005-02-02,Frans Lanting,2007-04-05,1697185
85,2953,57,985,TED2004,2004-02-25,Sheila Patek,2007-04-05,1115081
86,165,39,163,TED2006,2006-02-26,Jill Sobule,2007-04-06,591379
87,466,34,459,TED2005,2005-02-02,Caroline Lavelle,2007-04-06,398713
88,3057,501,1308,TED2003,2003-02-27,Dan Dennett,2007-04-06,2676717
89,3162,296,1929,TED2003,2003-02-02,Evelyn Glennie,2007-04-06,4165572
90,3528,231,1205,TED2005,2005-02-02,William McDonough,2007-04-06,1426390
91,2952,58,1031,TED2003,2003-02-02,Jeff Bezos,2007-04-09,754700
92,723,58,251,TED2006,2006-02-02,Rives,2007-04-09,643078
95,2276,588,1172,TED2005,2005-02-02,Tom Honey,2007-04-16,616385
96,3879,6404,1750,TED2002,2002-02-02,Richard Dawkins,2007-04-16,4374792
97,2270,49,1195,TED2006,2006-02-02,Tom Rielly,2007-04-16,609087
99,2284,42,858,TED2004,2004-02-02,Chris Anderson,2007-04-27,904520
103,3169,328,1184,TED2004,2004-02-02,James Howard Kunstler,2007-05-12,1683456
104,2372,32,1020,TED2002,2002-02-02,David Kelley,2007-05-15,779873
105,279,99,185,TED2006,2006-02-02,Stewart Brand,2007-05-17,940913
106,4241,230,1211,TED2003,2003-02-02,Jeff Hawkins,2007-05-21,1371482
107,2649,87,1001,TED2003,2003-02-02,Tierney Thys,2007-05-21,870412
108,1134,260,450,TED2007,2007-03-03,Blaise AgÌ_era y Arcas,2007-05-27,4772595
109,2632,295,1072,TED2007,2007-03-03,John Doerr,2007-05-27,805111
110,2931,127,1213,TED2007,2007-03-03,Ngozi Okonjo-Iweala,2007-05-30,1044185
111,846,124,279,TED2007,2007-03-03,Anand Agarawala,2007-06-05,1479503
112,1972,220,726,TEDSalon 2006,2006-12-01,Robert Thurman,2007-06-06,1493606
114,3875,305,1402,TED2005,2005-02-02,Thomas Barnett,2007-06-14,1136037
116,1005,22,370,TED2007,2007-03-03,Stephen Lawler,2007-06-20,308879
117,3015,261,1137,TED2007,2007-03-03,Hans Rosling,2007-06-25,3243784
118,2706,240,1063,TED2007,2007-03-03,Bill Stone,2007-06-27,1801117
119,1947,392,926,TED2002,2002-02-02,Dan Dennett,2007-07-02,1596067
120,3367,150,1165,TED2006,2006-02-02,Alan Russell,2007-07-04,1427723
121,3206,145,1030,TED2007,2007-03-03,Jonathan Harris,2007-07-08,1049727
122,3268,136,934,TED2007,2007-03-03,Emily Oster,2007-07-12,854967
123,3450,126,997,TED2007,2007-03-03,Will Wright,2007-07-17,1107307
124,1301,276,552,TED2007,2007-03-03,Rives,2007-07-17,3387765
125,1359,231,585,TED2007,2007-03-03,David Bolinsky,2007-07-22,1788182
126,809,80,288,TED2007,2007-03-03,Allison Hunt,2007-07-24,558993
127,2106,97,1070,TEDGlobal 2007,2007-06-05,George Ayittey,2007-07-30,648234
128,3439,108,1330,TEDGlobal 2007,2007-06-07,Ngozi Okonjo-Iweala,2007-07-31,524049
130,2816,31,1141,TEDGlobal 2007,2007-06-04,Euvin Naidoo,2007-07-31,335086
131,2166,150,1051,TEDGlobal 2007,2007-06-06,Patrick Awuah,2007-08-03,1216429
132,2727,77,1056,TEDGlobal 2007,2007-06-06,Chris Abani,2007-08-09,561703
133,3258,106,1103,TEDGlobal 2007,2007-06-05,Jacqueline Novogratz,2007-08-12,836269
